Odorant,Odor,SMILES representation,exactmw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR
pentanol,balsamic,CCCCCO,88.088815004,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99325323761199,20.23,1.1689,26.61079999999999
(Z)-2-penten-1-ol,"green, plastic, rubber",CC\C=C/CO,86.07316494,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.30365020542773,20.23,0.9448999999999999,26.51679999999999
epoxylinalool,flower,CC(C)=CCCC(C)(O)C1=CO1,168.115029752,2.0,1.0,4.0,1.0,2.0,2.0,0.0,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,73.54647182120415,32.76,2.3554000000000004,48.45680000000003
methylpentanol,pungent,CCCCC(C)O,102.104465068,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.3581953520086,20.23,1.5574,31.205799999999982
toluene,paint,Cc1ccccc1,92.062600256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.79634523389357,0.0,1.99502,31.17899999999999
isobutylacetate,"fruit, apple, banana",CC(C)CCC([O-])=O,115.07645317191,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.51971745205236,40.129999999999995,0.17249999999999988,29.078999999999983
methyl-2-butenol,herb,CC=CC(C)O,86.07316494,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.303650205427736,20.23,0.9433,26.494799999999987
methylmethylbutyrate,apple,CCC(C)(C)C([O-])=O,115.07645317191,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.51971745205236,40.129999999999995,0.17249999999999988,29.078999999999983
ethylisobutyrate,"sweet, rubber",CCOC(=O)C(C)C,116.083729624,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.83902892936323,26.3,1.2055,31.470999999999982
1-hexenol,green,CCCCC=CO,100.088815004,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.66859231982434,20.23,2.2483,31.293799999999983
hexanal,"grass, tallow, fat",CCCCCC=O,100.088815004,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.72548369985635,17.07,1.7656,30.20599999999998
4-methyl-3-penten-2-one,"sweet, chemical",CC(C)=CC(C)=O,98.07316494,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.035880667672096,17.07,1.5416,30.111999999999988
3-hexenal,"leaf, green",CCC=CCC=O,98.07316494,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.035880667672096,17.07,1.5416,30.111999999999988
thiophane,cabbage,C1CCSC1,88.034671256,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,36.95135624285539,0.0,1.5133999999999999,26.55899999999999
m-xylene,plastic,Cc1cccc(C)c1,106.07825032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.16128734829017,0.0,2.30344,35.916
hydroxypentanone,"herb, truffle",CCCC(=O)CO,102.06807956,2.0,1.0,3.0,1.0,2.0,2.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.15477533765576,37.3,0.34790000000000004,27.000799999999987
mercaptobutanone,onion,CCC(=O)CS,104.029585876,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.150666134464856,17.07,0.8953,29.15099999999999
isobutyraldehyde,"pungent, malt, green",CC(C)C=O,72.057514876,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.995599471063137,17.07,0.8412999999999999,20.901999999999994
ethylbutyrate,apple,CCCC(=O)OCC,116.083729624,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.83902892936323,26.3,1.3496000000000001,31.540999999999983
butanediol,"fruit, onion",CCCC(O)O,90.06807956,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4225448754114,40.46,0.09720000000000006,23.133599999999994
pentanal,"almond, malt, pungent",CCCCC=O,86.07316494,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.36054158545974,17.07,1.3755,25.588999999999988
propylpropanoate,pineapple,CCCOC(=O)CC,116.083729624,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.83902892936323,26.3,1.3496000000000001,31.540999999999983
nonenone,baked,CCCCCC=CC(C)=O,140.120115132,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.13070701086192,17.07,2.711900000000001,43.963000000000015
octane,alkane,CCCCCCCC,114.14085057599999,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.293845828605804,0.0,3.3668000000000022,39.05
butylacetate,pear,CCCCOC(C)=O,116.083729624,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.83902892936324,26.3,1.3496000000000001,31.540999999999983
furfural,"bread, almond, sweet",O=Cc1occc1,96.021129368,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.75219659801417,30.21,1.0921,24.095499999999994
methylbutenthiol,"amine, smoke",CCC=C(C)S,102.05032132,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.66448311663345,0.0,2.230000000000001,33.03399999999999
hydroxypentanone,"truffle, earth, nut",CCCC(=O)CO,102.06807956,2.0,1.0,3.0,1.0,2.0,2.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.15477533765576,37.3,0.34790000000000004,27.000799999999987
azine,rancid,c1ccncc1,79.04219916,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.651051100443475,12.89,1.0816,24.236999999999995
methylpyrazine,popcorn,Cc1cnccn1,94.053098192,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2356411957866,25.78,0.7850199999999998,26.76899999999999
ethoxypropanol,fruit,CCOC(O)CC,104.083729624,2.0,1.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,44.10679846711887,29.46,0.7513000000000001,27.923799999999986
1-(methylthio)ethanethiol,thiamin,CSC(C)S,108.006742256,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,42.74731194538973,0.0,1.6252,31.96299999999999
2-hexenal,"apple, green",CCCC=CC=O,98.07316494,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.035880667672096,17.07,1.5416,30.111999999999988
(E)-2-hexenal,"green, leaf",CCC/C=C/C=O,98.07316494,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.035880667672096,17.07,1.5416,30.111999999999988
(2S)-2-methyl-ethylester-butanoicacid,apple,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
isopropylbutanoate,"pungent, fruit",CCCC(=O)OC(C)C,130.099379688,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.20397104375984,26.3,1.7381,36.135999999999996
furfurylalcohol,burnt,OCc1occc1,98.036779432,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.38490825016642,33.370000000000005,0.7719,24.630799999999994
ethylmethylbutyrate,apple,CCC(C)(CC)C([O-])=O,129.09210323591,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.884659566448974,40.129999999999995,0.5626,33.695999999999984
ethyl3-methylbutanoate,fruit,CCOC(=O)CC(C)C,130.099379688,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.20397104375983,26.3,1.5956000000000001,36.087999999999994
