No.	NAME	MW	AMW	Sv	Se	Sp	Si	Mv	Me	Mp	Mi	GD	nAT	nSK	nTA	nBT	nBO	nBM	SCBO	RBN	RBF	nDB	nTB	nAB	nH	nC	nN	nO	nP	nS	nF	nCL	nBR	nI	nB	nHM	nHet	nX	H%	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	max_conj_path	nStructures	totalcharge
572	butyllaurate	256.48	5.12959999999999	25.8584	48.7922	29.0914	57.062	0.517168000000001	0.975844	0.581828000000001	1.14124	0.111111111111111	50	18	3	49	17	1	18	14	0.285714285714286	1	0	0	32	16	0	2	0	0	0	0	0	0	0	0	2	0	64	32	0	4	0	15	1	0	0	1	0
573	delta-cadinol	222.41	5.29547619047618	22.5632	40.8141	25.3527	47.607	0.537219047619048	0.971764285714286	0.603635714285715	1.1335	0.141666666666667	42	16	5	43	17	1	18	1	0.0232558139534884	1	0	0	26	15	0	1	0	0	0	0	0	0	0	0	1	0	61.9047619047619	35.7142857142857	0	2.38095238095238	0	13	2	0	0	1	0
574	T-muurolol	222.41	5.29547619047618	22.5632	40.8141	25.3527	47.607	0.537219047619048	0.971764285714286	0.603635714285715	1.1335	0.141666666666667	42	16	5	43	17	1	18	1	0.0232558139534884	1	0	0	26	15	0	1	0	0	0	0	0	0	0	0	1	0	61.9047619047619	35.7142857142857	0	2.38095238095238	0	13	2	0	0	1	0
575	7-methoxycoumarin	176.18	8.3895238095238	14.2516	21.5163	14.4091	23.289	0.678647619047619	1.02458571428571	0.686147619047619	1.109	0.179487179487179	21	13	2	22	14	8	19	1	0.0454545454545455	2	0	6	8	10	0	3	0	0	0	0	0	0	0	0	3	0	38.0952380952381	47.6190476190476	0	14.2857142857143	0	1	9	0	10	1	0
576	pantolactone	130.16	6.85052631578947	10.7784	19.3999	11.1705	21.7042	0.567284210526316	1.02104736842105	0.587921052631579	1.14232631578947	0.25	19	9	4	19	9	1	10	0	0	1	0	0	10	6	0	3	0	0	0	0	0	0	0	0	3	0	52.6315789473684	31.5789473684211	0	15.7894736842105	0	5	1	0	0	1	0
577	gamma-dodecalactone	198.34	5.50944444444444	19.2244	35.3742	21.2844	40.986	0.534011111111112	0.982616666666667	0.591233333333334	1.1385	0.153846153846154	36	14	2	36	14	1	15	7	0.194444444444444	1	0	0	22	12	0	2	0	0	0	0	0	0	0	0	2	0	61.1111111111111	33.3333333333333	0	5.55555555555556	0	11	1	0	0	1	0
578	2,6-dimethylnaphthalene	156.24	6.51	15.1608	23.3016	16.5684	26.4912	0.6317	0.9709	0.69035	1.1038	0.196969696969697	24	12	2	25	13	11	18.5	0	0	0	0	11	12	12	0	0	0	0	0	0	0	0	0	0	0	0	50	50	0	0	0	2	10	0	10	1	0
579	alpha-cadinol	222.41	5.29547619047618	22.5632	40.8141	25.3527	47.607	0.537219047619048	0.971764285714286	0.603635714285715	1.1335	0.141666666666667	42	16	5	43	17	1	18	1	0.0232558139534884	1	0	0	26	15	0	1	0	0	0	0	0	0	0	0	1	0	61.9047619047619	35.7142857142857	0	2.38095238095238	0	13	2	0	0	1	0
580	(E)-2-dodecen-1-ol	184.36	4.9827027027027	19.0364	35.9305	21.5913	42.1918	0.514497297297298	0.971094594594595	0.583548648648649	1.14031891891892	0.153846153846154	37	13	2	36	12	1	13	9	0.25	1	0	0	24	12	0	1	0	0	0	0	0	0	0	0	1	0	64.8648648648649	32.4324324324324	0	2.7027027027027	0	10	2	0	0	1	0
581	7-heptadecene	238.51	4.67666666666666	25.9556	49.0212	29.9438	58.0584	0.508933333333334	0.9612	0.587133333333334	1.1384	0.117647058823529	51	17	2	50	16	1	17	13	0.26	1	0	0	34	17	0	0	0	0	0	0	0	0	0	0	0	0	66.6666666666667	33.3333333333333	0	0	0	15	2	0	0	1	0
582	ethyltetradecanoate	256.48	5.12959999999999	25.8584	48.7922	29.0914	57.062	0.517168000000001	0.975844	0.581828000000001	1.14124	0.111111111111111	50	18	3	49	17	1	18	14	0.285714285714286	1	0	0	32	16	0	2	0	0	0	0	0	0	0	0	2	0	64	32	0	4	0	15	1	0	0	1	0
583	methylcinnamate	162.2	7.37272727272727	14.0636	22.0726	14.716	24.4948	0.639254545454546	1.0033	0.66890909090909	1.1134	0.181818181818182	22	12	2	22	12	8	17	3	0.136363636363636	2	0	6	10	10	0	2	0	0	0	0	0	0	0	0	2	0	45.4545454545455	45.4545454545455	0	9.09090909090909	0	1	9	0	10	1	0
584	diethylmalate	190.22	7.04518518518518	15.2616	27.8217	15.6023	30.9534	0.565244444444445	1.03043333333333	0.577862962962963	1.14642222222222	0.153846153846154	27	13	5	26	12	2	14	7	0.269230769230769	2	0	0	14	8	0	5	0	0	0	0	0	0	0	0	5	0	51.8518518518518	29.6296296296296	0	18.5185185185185	0	6	2	0	0	1	0
